question_no,test_type,category,emoji,question_text,question_subtext,choice_order,choice_text,score
95,future,risk,⚖️,리스크를 줄이는 가장 좋은 방법은 무엇이라 생각하나요?,가장 공감되는 항목을 골라주세요.,3,공부와 정보,10
95,future,risk,⚖️,리스크를 줄이는 가장 좋은 방법은 무엇이라 생각하나요?,가장 공감되는 항목을 골라주세요.,4,타이밍,6
96,future,habit,🧺,작은 루틴이 미래 자산을 만든다고 느끼나요?,가장 가까운 생각을 골라주세요.,1,아주 크게 느낀다,10
96,future,habit,🧺,작은 루틴이 미래 자산을 만든다고 느끼나요?,가장 가까운 생각을 골라주세요.,2,어느 정도 그렇다,8
96,future,habit,🧺,작은 루틴이 미래 자산을 만든다고 느끼나요?,가장 가까운 생각을 골라주세요.,3,크게 체감은 없다,5
96,future,habit,🧺,작은 루틴이 미래 자산을 만든다고 느끼나요?,가장 가까운 생각을 골라주세요.,4,잘 모르겠다,4
97,future,income,📣,내가 가진 것을 더 잘 알리면 수입이 늘 수 있다고 보나요?,가장 가까운 답을 골라주세요.,1,"그렇다, 브랜딩이 중요하다",10
97,future,income,📣,내가 가진 것을 더 잘 알리면 수입이 늘 수 있다고 보나요?,가장 가까운 답을 골라주세요.,2,실력과 함께 중요하다,9
97,future,income,📣,내가 가진 것을 더 잘 알리면 수입이 늘 수 있다고 보나요?,가장 가까운 답을 골라주세요.,3,알지만 실행이 어렵다,6
97,future,income,📣,내가 가진 것을 더 잘 알리면 수입이 늘 수 있다고 보나요?,가장 가까운 답을 골라주세요.,4,별로 관계없다,4
98,future,goal,🏁,미래 자산 목표에 가까워졌다고 느끼는 순간은?,가장 공감되는 항목을 골라주세요.,1,지출 통제가 익숙해졌을 때,8
98,future,goal,🏁,미래 자산 목표에 가까워졌다고 느끼는 순간은?,가장 공감되는 항목을 골라주세요.,2,자산이 자동으로 쌓이는 구조가 생겼을 때,10
98,future,goal,🏁,미래 자산 목표에 가까워졌다고 느끼는 순간은?,가장 공감되는 항목을 골라주세요.,3,수입원이 늘어났을 때,9
98,future,goal,🏁,미래 자산 목표에 가까워졌다고 느끼는 순간은?,가장 공감되는 항목을 골라주세요.,4,큰 지출에도 흔들리지 않을 때,10
99,future,investment,📊,장기적으로 돈이 모이는 사람의 특징은 무엇 같나요?,가장 가까운 생각을 골라주세요.,1,꾸준한 기록,9
99,future,investment,📊,장기적으로 돈이 모이는 사람의 특징은 무엇 같나요?,가장 가까운 생각을 골라주세요.,2,기회가 왔을 때 실행,8
99,future,investment,📊,장기적으로 돈이 모이는 사람의 특징은 무엇 같나요?,가장 가까운 생각을 골라주세요.,3,감정 조절,10
99,future,investment,📊,장기적으로 돈이 모이는 사람의 특징은 무엇 같나요?,가장 가까운 생각을 골라주세요.,4,목표의식,9
100,future,habit,🔐,미래 자산을 위해 지금 가장 먼저 지켜야 할 원칙 하나는?,직감적으로 골라주세요.,1,수입보다 적게 쓰기,10
100,future,habit,🔐,미래 자산을 위해 지금 가장 먼저 지켜야 할 원칙 하나는?,직감적으로 골라주세요.,2,꾸준히 모으기,9
100,future,habit,🔐,미래 자산을 위해 지금 가장 먼저 지켜야 할 원칙 하나는?,직감적으로 골라주세요.,3,모르는 것은 공부하고 투자하기,10
100,future,habit,🔐,미래 자산을 위해 지금 가장 먼저 지켜야 할 원칙 하나는?,직감적으로 골라주세요.,4,남과 비교하지 않기,8
